pl_name,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,sy_dist,sy_disterr1,sy_disterr2
HD 75898 b,1,Radial Velocity,2007,418.20001,5.7,-5.7,0,,,,,858.141,104.8839,-104.8839,0,0.1,0.05,-0.05,0,78.0505,0.304,-0.3016
HD 75898 b,1,Radial Velocity,2007,418.2,5.7,-5.7,0,,,,,797.7533,,,0,0.1,0.05,-0.05,0,78.0505,0.304,-0.3016
HD 75898 b,1,Radial Velocity,2007,422.9,0.29,-0.29,0,,,,,861.3193,114.4188,-114.4188,0,0.11,0.01,-0.01,0,78.0505,0.304,-0.3016
HD 76700 b,1,Radial Velocity,2002,3.97097,0.00023,-0.00023,0,,,,,66.7443,9.5349,-9.5349,0,0.09,0.08,-0.08,0,60.8831,0.1175,-0.1171
HD 76700 b,1,Radial Velocity,2002,3.97097,0.00023,-0.00023,0,,,,,74.05439,7.62792,-7.62792,0,0.095,0.075,-0.075,0,60.8831,0.1175,-0.1171
HD 76700 b,1,Radial Velocity,2002,3.971,0.001,-0.001,0,,,,,62.61251,5.40311,-5.40311,0,0,0.04,-0.04,0,60.8831,0.1175,-0.1171
HD 76920 b,1,Radial Velocity,2017,415.891,0.043,-0.039,0,,,,,994.80291,130.30965,-136.66622,0,0.8782,0.0025,-0.0025,0,184.031,1.027,-1.017
HD 76920 b,1,Radial Velocity,2017,415.4,0.2,-0.2,0,,,,,1249.0719,44.4962,-47.6745,0,0.856,0.009,-0.009,0,184.031,1.027,-1.017
HD 76920 b,1,Radial Velocity,2017,,,,,,,,,1134.64741,69.92225,-69.92225,0,,,,,184.031,1.027,-1.017
HD 77338 b,1,Radial Velocity,2012,5.7361,0.0015,-0.0015,0,,,,,19.0698,6.3566,-6.3566,0,0.09,0.22,-0.22,0,45.935,0.0753,-0.0751
HD 77338 b,1,Radial Velocity,2012,5.7361,0.0015,-0.0015,0,,,,,15.9,4.7,-5.3,0,0.09,0.25,-0.09,0,45.935,0.0753,-0.0751
HD 79181 b,1,Radial Velocity,2021,273.1,1.3,-0.4,0,,,,,203.41018,19.0697,-50.85255,0,0.259,0.067,-0.206,0,103.335,0.995,-0.995
HD 7924 b,3,Radial Velocity,2008,5.39792,0.00025,-0.00025,0,,,,,8.68,0.52,-0.51,0,0.058,0.056,-0.04,0,16.9922,0.0072,-0.0072
HD 7924 b,3,Radial Velocity,2008,5.39785,0.00017,-0.00018,0,,,,,8.23176,0.44496,-0.44496,0,0.049,0.044,-0.035,0,16.9922,0.0072,-0.0072
HD 7924 b,3,Radial Velocity,2008,5.39792,0.00025,-0.00025,0,,,,,6.3566,0,0,0,0.06,0.05,-0.05,0,16.9922,0.0072,-0.0072
HD 7924 b,3,Radial Velocity,2008,5.3978,0.0015,-0.0015,0,,,,,9.26,,,0,0.17,0.16,-0.16,0,16.9922,0.0072,-0.0072
HD 7924 b,3,Radial Velocity,2008,5.39699,0.00013,-0.00013,0,,,,,9.26,1.77,-1.77,0,0,,,0,16.9922,0.0072,-0.0072
HD 7924 c,3,Radial Velocity,2015,15.3006,0.0018,-0.0018,0,,,,,8.83563,0.63566,-0.60387,0,0.1,0.069,-0.062,0,16.9922,0.0072,-0.0072
HD 7924 c,3,Radial Velocity,2015,15.299,0.0032,-0.0033,0,,,,,7.86,0.73,-0.71,0,0.098,0.096,-0.069,0,16.9922,0.0072,-0.0072
HD 7924 d,3,Radial Velocity,2015,24.4459,0.009,-0.0091,0,,,,,6.10231,0.66744,-0.63566,0,0.17,0.1,-0.1,0,16.9922,0.0072,-0.0072
HD 7924 d,3,Radial Velocity,2015,24.451,0.015,-0.017,0,,,,,6.44,0.79,-0.78,0,0.21,0.13,-0.12,0,16.9922,0.0072,-0.0072
HD 79498 b,1,Radial Velocity,2011,1807,15,-15,0,,,,,425.8922,66.7443,-66.7443,0,0.575,0.023,-0.023,0,48.9489,0.1776,-0.1763
HD 79498 b,1,Radial Velocity,2011,1966.1,41,-41,0,,,,,425.9,22,-22,0,0.59,0.02,-0.02,0,48.9489,0.1776,-0.1763
HD 80606 b,1,Radial Velocity,2001,111.429,0.001,-0.001,0,,,,,1242.7153,60.3877,-60.3877,0,0.9324,0.0006,-0.0006,0,66.4711,0.1612,-0.1604
